,marcEntry,callNumber,library,numberOfCharges,numberOfBills,numberOfCopyHolds,totalCharges,inhouseCharges,totalCheckouts,totalRenewals,intervalCheckouts,intervalRenewals,intervalStartDate,recirculate,dateLastUsed,isReserveItem,copyNumber,itemID,library2,libraryDescription,currentLibrary,location,inTransitTo,inTransitFrom,datePutInTransit,transitReason
124085,Red wine for dummies / by Ed McCarthy and Mary Ewing-Mulligan.,TP548 .M325 1996,LINCOLNCTR,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-01-04,False,1.0,0201602312344,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124086,White wine for dummies / by Ed McCarthy and Mary Ewing-Mulligan.,TP548 .M326 1996,LINCOLNCTR,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-01-04,False,1.0,0201602312849,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124087,Wine buying companion for dummies / by Ed McCarthy and Mary Ewing-Mulligan.,TP548 .M327 1997,LINCOLNCTR,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,1998-06-14,False,1.0,0201602794020,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124088,Wine for dummies / by Ed McCarthy and Mary Ewing-Mulligan ; foreword by Piero Antinori.,TP548 .M3275 1998,LINCOLNCTR,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,1/14/2025,YES,2011-03-24,False,1.0,0201603346408,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124089,Champagne for dummies / by Ed McCarthy ; foreword by Richard Geoffroy.,TP555 .M22 1999,LINCOLNCTR,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2007-09-20,False,1.0,0201603937800,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124092,Homebrewing for dummies / by Marty Nachel.,TP570 .N33 1997,LINCOLNCTR,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,1/14/2025,YES,2013-04-15,False,1.0,0201602795415,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124134,Photography for dummies / by Russell Hart ; with addditional writing by Dan Richards.,TR146 .H37 1998,LINCOLNCTR,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2008-01-23,False,1.0,0201603181854,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124267,Crafts for dummies : by Leslie Linsley.,TT157 .L55 1999,LINCOLNCTR,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2010-01-11,False,1.0,0201603855531,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124272,"Painting and wallpapering for dummies / by Gene Hamilton, Katie Hamilton, & Roy Barnhart.",TT320 .H36 1999,LINCOLNCTR,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1/14/2025,YES,2000-01-22,False,1.0,0201603749148,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
124282,Sewing for dummies / by Jan Saunders.,TT708 .S38 1999,LINCOLNCTR,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,1/14/2025,YES,2014-08-04,False,1.0,0201603869672,LINCOLNCTR,Lincoln Center--Quinn Library,LINCOLNCTR,QUINN_X,,,,
